,County,Week,Cases,WeekChange,WeekDouble
179,Sumter,3,5,5.0,yes
180,Suwannee,1,0,-5.0,no
181,Suwannee,2,0,0.0,no
182,Suwannee,3,0,0.0,no
183,Taylor,1,0,0.0,no
184,Taylor,2,0,0.0,no
185,Taylor,3,0,0.0,no
186,Union,1,0,0.0,no
187,Union,2,0,0.0,no
188,Union,3,0,0.0,no
189,Volusia,1,1,1.0,yes
190,Volusia,2,6,5.0,yes
191,Volusia,3,7,1.0,no
192,Wakulla,1,0,-7.0,no
193,Wakulla,2,0,0.0,no
194,Wakulla,3,0,0.0,no
195,Walton,1,0,0.0,no
196,Walton,2,0,0.0,no
197,Walton,3,4,4.0,yes
198,Washington,1,0,-4.0,no
199,Washington,2,0,0.0,no
200,Washington,3,0,0.0,no
