,County,Day,Cases,Population,Rate,Log,TotalCount,TotalRate,TotalLog
2278,Florida,0,2,2095775,0.09543009149360021,0.6931471805599453,2,0.09543009149360021,0.6931471805599453
2279,Florida,1,2,2095775,0.09543009149360021,0.6931471805599453,4,0.19086018298720042,1.3862943611198906
2280,Florida,2,4,2095775,0.19086018298720042,1.3862943611198906,8,0.38172036597440084,2.772588722239781
2281,Florida,3,1,2095775,0.047715045746800105,0.0,9,0.4294354117212009,2.772588722239781
2282,Florida,4,0,2095775,0.0,0.0,9,0.4294354117212009,2.772588722239781
2283,Florida,5,4,2095775,0.19086018298720042,1.3862943611198906,13,0.6202955947084013,4.1588830833596715
2284,Florida,6,1,2095775,0.047715045746800105,0.0,14,0.6680106404552014,4.1588830833596715
2285,Florida,7,5,2095775,0.23857522873400053,1.6094379124341003,19,0.9065858691892019,5.768320995793772
2286,Florida,8,3,2095775,0.14314513724040034,1.0986122886681098,22,1.0497310064296022,6.866933284461882
2287,Florida,9,6,2095775,0.2862902744808007,1.791759469228055,28,1.3360212809104028,8.658692753689937
2288,Florida,10,7,2095775,0.33400532022760077,1.9459101490553132,35,1.6700266011380036,10.60460290274525
2289,Florida,11,24,2095775,1.1451610979232028,3.1780538303479458,59,2.815187699061206,13.782656733093196
2290,Florida,12,45,2095775,2.147177058606005,3.8066624897703196,104,4.962364757667212,17.589319222863516
2291,Florida,13,33,2095775,1.5745965096444037,3.4965075614664802,137,6.536961267311615,21.085826784329996
2292,Florida,14,32,2095775,1.5268814638976034,3.4657359027997265,169,8.063842731209219,24.55156268712972
2293,Florida,15,70,2095775,3.340053202276007,4.248495242049359,239,11.403895933485225,28.80005792917908
2294,Florida,16,107,2095775,5.105509894907612,4.672828834461906,346,16.509405828392836,33.472886763640986
2295,Florida,17,87,2095775,4.151208979971609,4.465908118654584,433,20.660614808364446,37.93879488229557
2296,Florida,18,150,2095775,7.157256862020016,5.0106352940962555,583,27.817871670384463,42.94943017639182
2297,Florida,19,217,2095775,10.354164927055624,5.37989735354046,800,38.17203659744008,48.32932752993228
2298,Florida,20,306,2095775,14.600803998520833,5.723585101952381,1106,52.772840595960915,54.05291263188466
2299,Florida,21,193,2095775,9.20900382913242,5.262690188904886,1299,61.981844425093335,59.31560282078954
2300,Florida,22,302,2095775,14.409943815533634,5.71042701737487,1601,76.39178824062697,65.02602983816442
2301,Florida,23,518,2095775,24.716393696842456,6.249975242259483,2119,101.10818193746942,71.2760050804239
2302,Florida,24,563,2095775,26.86357075544846,6.333279628139691,2682,127.97175269291789,77.60928470856359
2303,Florida,25,693,2095775,33.06652670253248,6.541029999189903,3375,161.03827939545036,84.1503147077535
2304,Florida,26,734,2095775,35.02284357815128,6.598509028614515,4109,196.06112297360164,90.74882373636801
2305,Florida,27,922,2095775,43.9932721785497,6.826545223556594,5031,240.05439515215136,97.5753689599246
2306,Florida,28,901,2095775,42.9912562178669,6.803505257608338,5932,283.0456513700183,104.37887421753294
2307,Florida,29,953,2095775,45.472438596700506,6.859614903654202,6885,328.5180899667188,111.23848912118714
2308,Florida,30,1081,2095775,51.579964452290916,6.985641817639208,7966,380.0980544190097,118.22413093882635
2309,Florida,31,1317,2095775,62.840715248535744,7.183111701743281,9283,442.93876966754544,125.40724264056963
2310,Florida,32,1338,2095775,63.84273120921854,7.198931240688173,10621,506.78150087676397,132.6061738812578
2311,Florida,33,1224,2095775,58.40321599408333,7.1098794630722715,11845,565.1847168708473,139.71605334433008
