,County,Day,Cases,Week,Date,Population,Rate,Change,Double,LogChange,DoubleTime
727,Putnam,10,0,2,3/12/20,73422.0,0.0,0.0,No,,inf
796,Putnam,11,0,2,3/13/20,73422.0,0.0,0.0,No,,inf
865,Putnam,12,0,2,3/14/20,73422.0,0.0,0.0,No,,inf
934,Putnam,13,0,2,3/15/20,73422.0,0.0,0.0,No,,inf
1003,Putnam,14,0,3,3/16/20,73422.0,0.0,0.0,No,,inf
1072,Putnam,15,0,3,3/17/20,73422.0,0.0,0.0,No,,inf
1141,Putnam,16,0,3,3/18/20,73422.0,0.0,0.0,No,,inf
1210,Putnam,17,0,3,3/19/20,73422.0,0.0,0.0,No,,inf
1279,Putnam,18,1,3,3/20/20,73422.0,1.3619895943994988,1.0,Yes,inf,1.0
1348,Putnam,19,0,3,3/21/20,73422.0,0.0,-1.0,No,-inf,-inf
1417,Putnam,20,1,3,3/22/20,73422.0,1.3619895943994988,1.0,Yes,inf,1.0
1486,Putnam,21,0,4,3/23/20,73422.0,0.0,-1.0,No,-inf,-inf
1555,Putnam,22,0,4,3/24/20,73422.0,0.0,0.0,No,,inf
61,Saint Johns,0,0,1,3/2/20,241545.0,0.0,0.0,No,,inf
130,Saint Johns,1,0,1,3/3/20,241545.0,0.0,0.0,No,,inf
199,Saint Johns,2,0,1,3/4/20,241545.0,0.0,0.0,No,,inf
268,Saint Johns,3,0,1,3/5/20,241545.0,0.0,0.0,No,,inf
337,Saint Johns,4,0,1,3/6/20,241545.0,0.0,0.0,No,,inf
406,Saint Johns,5,0,1,3/7/20,241545.0,0.0,0.0,No,,inf
475,Saint Johns,6,0,1,3/8/20,241545.0,0.0,0.0,No,,inf
544,Saint Johns,7,0,2,3/9/20,241545.0,0.0,0.0,No,,inf
613,Saint Johns,8,0,2,3/10/20,241545.0,0.0,0.0,No,,inf
682,Saint Johns,9,0,2,3/11/20,241545.0,0.0,0.0,No,,inf
751,Saint Johns,10,0,2,3/12/20,241545.0,0.0,0.0,No,,inf
820,Saint Johns,11,0,2,3/13/20,241545.0,0.0,0.0,No,,inf
889,Saint Johns,12,0,2,3/14/20,241545.0,0.0,0.0,No,,inf
958,Saint Johns,13,0,2,3/15/20,241545.0,0.0,0.0,No,,inf
1027,Saint Johns,14,0,3,3/16/20,241545.0,0.0,0.0,No,,inf
1096,Saint Johns,15,0,3,3/17/20,241545.0,0.0,0.0,No,,inf
1165,Saint Johns,16,0,3,3/18/20,241545.0,0.0,0.0,No,,inf
1234,Saint Johns,17,0,3,3/19/20,241545.0,0.0,0.0,No,,inf
1303,Saint Johns,18,0,3,3/20/20,241545.0,0.0,0.0,No,,inf
1372,Saint Johns,19,0,3,3/21/20,241545.0,0.0,0.0,No,,inf
1441,Saint Johns,20,0,3,3/22/20,241545.0,0.0,0.0,No,,inf
1510,Saint Johns,21,0,4,3/23/20,241545.0,0.0,0.0,No,,inf
1579,Saint Johns,22,0,4,3/24/20,241545.0,0.0,0.0,No,,inf
62,Saint Lucie,0,0,1,3/2/20,304743.0,0.0,0.0,No,,inf
131,Saint Lucie,1,0,1,3/3/20,304743.0,0.0,0.0,No,,inf
200,Saint Lucie,2,0,1,3/4/20,304743.0,0.0,0.0,No,,inf
269,Saint Lucie,3,0,1,3/5/20,304743.0,0.0,0.0,No,,inf
338,Saint Lucie,4,0,1,3/6/20,304743.0,0.0,0.0,No,,inf
407,Saint Lucie,5,0,1,3/7/20,304743.0,0.0,0.0,No,,inf
476,Saint Lucie,6,0,1,3/8/20,304743.0,0.0,0.0,No,,inf
545,Saint Lucie,7,0,2,3/9/20,304743.0,0.0,0.0,No,,inf
614,Saint Lucie,8,0,2,3/10/20,304743.0,0.0,0.0,No,,inf
683,Saint Lucie,9,0,2,3/11/20,304743.0,0.0,0.0,No,,inf
752,Saint Lucie,10,0,2,3/12/20,304743.0,0.0,0.0,No,,inf
821,Saint Lucie,11,0,2,3/13/20,304743.0,0.0,0.0,No,,inf
890,Saint Lucie,12,0,2,3/14/20,304743.0,0.0,0.0,No,,inf
959,Saint Lucie,13,0,2,3/15/20,304743.0,0.0,0.0,No,,inf
1028,Saint Lucie,14,0,3,3/16/20,304743.0,0.0,0.0,No,,inf
1097,Saint Lucie,15,0,3,3/17/20,304743.0,0.0,0.0,No,,inf
1166,Saint Lucie,16,0,3,3/18/20,304743.0,0.0,0.0,No,,inf
1235,Saint Lucie,17,0,3,3/19/20,304743.0,0.0,0.0,No,,inf
1304,Saint Lucie,18,0,3,3/20/20,304743.0,0.0,0.0,No,,inf
1373,Saint Lucie,19,0,3,3/21/20,304743.0,0.0,0.0,No,,inf
1442,Saint Lucie,20,0,3,3/22/20,304743.0,0.0,0.0,No,,inf
1511,Saint Lucie,21,0,4,3/23/20,304743.0,0.0,0.0,No,,inf
1580,Saint Lucie,22,0,4,3/24/20,304743.0,0.0,0.0,No,,inf
38,Santa Rosa,0,0,1,3/2/20,175552.0,0.0,0.0,No,,inf
107,Santa Rosa,1,0,1,3/3/20,175552.0,0.0,0.0,No,,inf
176,Santa Rosa,2,0,1,3/4/20,175552.0,0.0,0.0,No,,inf
245,Santa Rosa,3,1,1,3/5/20,175552.0,0.5696317900109369,1.0,Yes,inf,1.0
314,Santa Rosa,4,0,1,3/6/20,175552.0,0.0,-1.0,No,-inf,-inf
383,Santa Rosa,5,0,1,3/7/20,175552.0,0.0,0.0,No,,inf
452,Santa Rosa,6,0,1,3/8/20,175552.0,0.0,0.0,No,,inf
521,Santa Rosa,7,0,2,3/9/20,175552.0,0.0,0.0,No,,inf
590,Santa Rosa,8,0,2,3/10/20,175552.0,0.0,0.0,No,,inf
659,Santa Rosa,9,0,2,3/11/20,175552.0,0.0,0.0,No,,inf
728,Santa Rosa,10,0,2,3/12/20,175552.0,0.0,0.0,No,,inf
797,Santa Rosa,11,0,2,3/13/20,175552.0,0.0,0.0,No,,inf
866,Santa Rosa,12,0,2,3/14/20,175552.0,0.0,0.0,No,,inf
935,Santa Rosa,13,0,2,3/15/20,175552.0,0.0,0.0,No,,inf
1004,Santa Rosa,14,0,3,3/16/20,175552.0,0.0,0.0,No,,inf
1073,Santa Rosa,15,0,3,3/17/20,175552.0,0.0,0.0,No,,inf
1142,Santa Rosa,16,1,3,3/18/20,175552.0,0.5696317900109369,1.0,Yes,inf,1.0
1211,Santa Rosa,17,0,3,3/19/20,175552.0,0.0,-1.0,No,-inf,-inf
1280,Santa Rosa,18,1,3,3/20/20,175552.0,0.5696317900109369,1.0,Yes,inf,1.0
1349,Santa Rosa,19,0,3,3/21/20,175552.0,0.0,-1.0,No,-inf,-inf
1418,Santa Rosa,20,0,3,3/22/20,175552.0,0.0,0.0,No,,inf
1487,Santa Rosa,21,1,4,3/23/20,175552.0,0.5696317900109369,1.0,Yes,inf,1.0
1556,Santa Rosa,22,0,4,3/24/20,175552.0,0.0,-1.0,No,-inf,-inf
39,Sarasota,0,0,1,3/2/20,415896.0,0.0,0.0,No,,inf
108,Sarasota,1,0,1,3/3/20,415896.0,0.0,0.0,No,,inf
177,Sarasota,2,0,1,3/4/20,415896.0,0.0,0.0,No,,inf
246,Sarasota,3,0,1,3/5/20,415896.0,0.0,0.0,No,,inf
315,Sarasota,4,0,1,3/6/20,415896.0,0.0,0.0,No,,inf
384,Sarasota,5,0,1,3/7/20,415896.0,0.0,0.0,No,,inf
453,Sarasota,6,0,1,3/8/20,415896.0,0.0,0.0,No,,inf
522,Sarasota,7,0,2,3/9/20,415896.0,0.0,0.0,No,,inf
591,Sarasota,8,0,2,3/10/20,415896.0,0.0,0.0,No,,inf
660,Sarasota,9,0,2,3/11/20,415896.0,0.0,0.0,No,,inf
729,Sarasota,10,0,2,3/12/20,415896.0,0.0,0.0,No,,inf
798,Sarasota,11,2,2,3/13/20,415896.0,0.4808894531325139,2.0,Yes,inf,0.25
867,Sarasota,12,0,2,3/14/20,415896.0,0.0,-2.0,No,-inf,-inf
936,Sarasota,13,0,2,3/15/20,415896.0,0.0,0.0,No,,inf
1005,Sarasota,14,2,3,3/16/20,415896.0,0.4808894531325139,2.0,Yes,inf,0.25
1074,Sarasota,15,0,3,3/17/20,415896.0,0.0,-2.0,No,-inf,-inf
1143,Sarasota,16,0,3,3/18/20,415896.0,0.0,0.0,No,,inf
1212,Sarasota,17,2,3,3/19/20,415896.0,0.4808894531325139,2.0,Yes,inf,0.25
1281,Sarasota,18,2,3,3/20/20,415896.0,0.4808894531325139,0.0,Yes,0.0,inf
1350,Sarasota,19,7,3,3/21/20,415896.0,1.6831130859637988,5.0,Yes,1.252762968495368,0.02857142857142857
1419,Sarasota,20,5,3,3/22/20,415896.0,1.2022236328312847,-2.0,No,-0.33647223662121306,-0.1
1488,Sarasota,21,4,4,3/23/20,415896.0,0.9617789062650278,-1.0,No,-0.22314355131420974,-0.25
1557,Sarasota,22,2,4,3/24/20,415896.0,0.4808894531325139,-2.0,No,-0.6931471805599453,-0.25
40,Seminole,0,0,1,3/2/20,463627.0,0.0,0.0,No,-inf,-inf
109,Seminole,1,0,1,3/3/20,463627.0,0.0,0.0,No,,inf
178,Seminole,2,0,1,3/4/20,463627.0,0.0,0.0,No,,inf
247,Seminole,3,0,1,3/5/20,463627.0,0.0,0.0,No,,inf
316,Seminole,4,0,1,3/6/20,463627.0,0.0,0.0,No,,inf
385,Seminole,5,0,1,3/7/20,463627.0,0.0,0.0,No,,inf
454,Seminole,6,0,1,3/8/20,463627.0,0.0,0.0,No,,inf
523,Seminole,7,0,2,3/9/20,463627.0,0.0,0.0,No,,inf
592,Seminole,8,0,2,3/10/20,463627.0,0.0,0.0,No,,inf
661,Seminole,9,0,2,3/11/20,463627.0,0.0,0.0,No,,inf
730,Seminole,10,1,2,3/12/20,463627.0,0.21569063061469673,1.0,Yes,inf,1.0
799,Seminole,11,0,2,3/13/20,463627.0,0.0,-1.0,No,-inf,-inf
868,Seminole,12,3,2,3/14/20,463627.0,0.6470718918440902,3.0,Yes,inf,0.1111111111111111
937,Seminole,13,0,2,3/15/20,463627.0,0.0,-3.0,No,-inf,-inf
1006,Seminole,14,0,3,3/16/20,463627.0,0.0,0.0,No,,inf
1075,Seminole,15,2,3,3/17/20,463627.0,0.43138126122939346,2.0,Yes,inf,0.25
1144,Seminole,16,2,3,3/18/20,463627.0,0.43138126122939346,0.0,Yes,0.0,inf
1213,Seminole,17,0,3,3/19/20,463627.0,0.0,-2.0,No,-inf,-inf
1282,Seminole,18,3,3,3/20/20,463627.0,0.6470718918440902,3.0,Yes,inf,0.1111111111111111
1351,Seminole,19,5,3,3/21/20,463627.0,1.0784531530734838,2.0,Yes,0.5108256237659908,0.1
1420,Seminole,20,3,3,3/22/20,463627.0,0.6470718918440902,-2.0,No,-0.5108256237659908,-0.16666666666666666
1489,Seminole,21,4,4,3/23/20,463627.0,0.8627625224587869,1.0,Yes,0.2876820724517809,0.25
1558,Seminole,22,0,4,3/24/20,463627.0,0.0,-4.0,No,-inf,-inf
41,St. Johns,0,0,1,3/2/20,,,0.0,No,,inf
110,St. Johns,1,0,1,3/3/20,,,0.0,No,,inf
179,St. Johns,2,0,1,3/4/20,,,0.0,No,,inf
248,St. Johns,3,0,1,3/5/20,,,0.0,No,,inf
317,St. Johns,4,0,1,3/6/20,,,0.0,No,,inf
386,St. Johns,5,0,1,3/7/20,,,0.0,No,,inf
455,St. Johns,6,0,1,3/8/20,,,0.0,No,,inf
524,St. Johns,7,0,2,3/9/20,,,0.0,No,,inf
593,St. Johns,8,0,2,3/10/20,,,0.0,No,,inf
662,St. Johns,9,0,2,3/11/20,,,0.0,No,,inf
731,St. Johns,10,1,2,3/12/20,,,1.0,Yes,,1.0
800,St. Johns,11,0,2,3/13/20,,,-1.0,No,,-inf
869,St. Johns,12,1,2,3/14/20,,,1.0,Yes,,1.0
938,St. Johns,13,0,2,3/15/20,,,-1.0,No,,-inf
1007,St. Johns,14,1,3,3/16/20,,,1.0,Yes,,1.0
1076,St. Johns,15,0,3,3/17/20,,,-1.0,No,,-inf
1145,St. Johns,16,2,3,3/18/20,,,2.0,Yes,,0.25
1214,St. Johns,17,0,3,3/19/20,,,-2.0,No,,-inf
1283,St. Johns,18,4,3,3/20/20,,,4.0,Yes,,0.0625
1352,St. Johns,19,3,3,3/21/20,,,-1.0,No,,-0.3333333333333333
1421,St. Johns,20,10,3,3/22/20,,,7.0,Yes,,0.014285714285714287
1490,St. Johns,21,5,4,3/23/20,,,-5.0,No,,-0.04
1559,St. Johns,22,1,4,3/24/20,,,-4.0,No,,-0.25
42,Sumter,0,0,1,3/2/20,125779.0,0.0,0.0,No,,-inf
111,Sumter,1,0,1,3/3/20,125779.0,0.0,0.0,No,,inf
180,Sumter,2,0,1,3/4/20,125779.0,0.0,0.0,No,,inf
249,Sumter,3,0,1,3/5/20,125779.0,0.0,0.0,No,,inf
318,Sumter,4,0,1,3/6/20,125779.0,0.0,0.0,No,,inf
387,Sumter,5,0,1,3/7/20,125779.0,0.0,0.0,No,,inf
456,Sumter,6,0,1,3/8/20,125779.0,0.0,0.0,No,,inf
525,Sumter,7,0,2,3/9/20,125779.0,0.0,0.0,No,,inf
594,Sumter,8,0,2,3/10/20,125779.0,0.0,0.0,No,,inf
663,Sumter,9,0,2,3/11/20,125779.0,0.0,0.0,No,,inf
732,Sumter,10,0,2,3/12/20,125779.0,0.0,0.0,No,,inf
801,Sumter,11,0,2,3/13/20,125779.0,0.0,0.0,No,,inf
870,Sumter,12,0,2,3/14/20,125779.0,0.0,0.0,No,,inf
939,Sumter,13,0,2,3/15/20,125779.0,0.0,0.0,No,,inf
1008,Sumter,14,0,3,3/16/20,125779.0,0.0,0.0,No,,inf
1077,Sumter,15,0,3,3/17/20,125779.0,0.0,0.0,No,,inf
1146,Sumter,16,1,3,3/18/20,125779.0,0.7950452778285724,1.0,Yes,inf,1.0
1215,Sumter,17,1,3,3/19/20,125779.0,0.7950452778285724,0.0,Yes,0.0,inf
1284,Sumter,18,0,3,3/20/20,125779.0,0.0,-1.0,No,-inf,-inf
1353,Sumter,19,2,3,3/21/20,125779.0,1.5900905556571447,2.0,Yes,inf,0.25
1422,Sumter,20,4,3,3/22/20,125779.0,3.1801811113142895,2.0,Yes,0.6931471805599454,0.125
1491,Sumter,21,2,4,3/23/20,125779.0,1.5900905556571447,-2.0,No,-0.6931471805599454,-0.25
1560,Sumter,22,0,4,3/24/20,125779.0,0.0,-2.0,No,-inf,-inf
63,Suwannee,0,0,1,3/2/20,45123.0,0.0,0.0,No,,inf
132,Suwannee,1,0,1,3/3/20,45123.0,0.0,0.0,No,,inf
201,Suwannee,2,0,1,3/4/20,45123.0,0.0,0.0,No,,inf
270,Suwannee,3,0,1,3/5/20,45123.0,0.0,0.0,No,,inf
339,Suwannee,4,0,1,3/6/20,45123.0,0.0,0.0,No,,inf
408,Suwannee,5,0,1,3/7/20,45123.0,0.0,0.0,No,,inf
477,Suwannee,6,0,1,3/8/20,45123.0,0.0,0.0,No,,inf
546,Suwannee,7,0,2,3/9/20,45123.0,0.0,0.0,No,,inf
615,Suwannee,8,0,2,3/10/20,45123.0,0.0,0.0,No,,inf
684,Suwannee,9,0,2,3/11/20,45123.0,0.0,0.0,No,,inf
753,Suwannee,10,0,2,3/12/20,45123.0,0.0,0.0,No,,inf
822,Suwannee,11,0,2,3/13/20,45123.0,0.0,0.0,No,,inf
891,Suwannee,12,0,2,3/14/20,45123.0,0.0,0.0,No,,inf
960,Suwannee,13,0,2,3/15/20,45123.0,0.0,0.0,No,,inf
1029,Suwannee,14,0,3,3/16/20,45123.0,0.0,0.0,No,,inf
1098,Suwannee,15,0,3,3/17/20,45123.0,0.0,0.0,No,,inf
1167,Suwannee,16,0,3,3/18/20,45123.0,0.0,0.0,No,,inf
1236,Suwannee,17,0,3,3/19/20,45123.0,0.0,0.0,No,,inf
1305,Suwannee,18,0,3,3/20/20,45123.0,0.0,0.0,No,,inf
1374,Suwannee,19,0,3,3/21/20,45123.0,0.0,0.0,No,,inf
1443,Suwannee,20,0,3,3/22/20,45123.0,0.0,0.0,No,,inf
1512,Suwannee,21,0,4,3/23/20,45123.0,0.0,0.0,No,,inf
1581,Suwannee,22,0,4,3/24/20,45123.0,0.0,0.0,No,,inf
64,Taylor,0,0,1,3/2/20,22258.0,0.0,0.0,No,,inf
133,Taylor,1,0,1,3/3/20,22258.0,0.0,0.0,No,,inf
202,Taylor,2,0,1,3/4/20,22258.0,0.0,0.0,No,,inf
271,Taylor,3,0,1,3/5/20,22258.0,0.0,0.0,No,,inf
340,Taylor,4,0,1,3/6/20,22258.0,0.0,0.0,No,,inf
409,Taylor,5,0,1,3/7/20,22258.0,0.0,0.0,No,,inf
478,Taylor,6,0,1,3/8/20,22258.0,0.0,0.0,No,,inf
547,Taylor,7,0,2,3/9/20,22258.0,0.0,0.0,No,,inf
616,Taylor,8,0,2,3/10/20,22258.0,0.0,0.0,No,,inf
685,Taylor,9,0,2,3/11/20,22258.0,0.0,0.0,No,,inf
754,Taylor,10,0,2,3/12/20,22258.0,0.0,0.0,No,,inf
823,Taylor,11,0,2,3/13/20,22258.0,0.0,0.0,No,,inf
892,Taylor,12,0,2,3/14/20,22258.0,0.0,0.0,No,,inf
961,Taylor,13,0,2,3/15/20,22258.0,0.0,0.0,No,,inf
1030,Taylor,14,0,3,3/16/20,22258.0,0.0,0.0,No,,inf
1099,Taylor,15,0,3,3/17/20,22258.0,0.0,0.0,No,,inf
1168,Taylor,16,0,3,3/18/20,22258.0,0.0,0.0,No,,inf
1237,Taylor,17,0,3,3/19/20,22258.0,0.0,0.0,No,,inf
1306,Taylor,18,0,3,3/20/20,22258.0,0.0,0.0,No,,inf
1375,Taylor,19,0,3,3/21/20,22258.0,0.0,0.0,No,,inf
1444,Taylor,20,0,3,3/22/20,22258.0,0.0,0.0,No,,inf
1513,Taylor,21,0,4,3/23/20,22258.0,0.0,0.0,No,,inf
1582,Taylor,22,0,4,3/24/20,22258.0,0.0,0.0,No,,inf
65,Union,0,0,1,3/2/20,15966.0,0.0,0.0,No,,inf
134,Union,1,0,1,3/3/20,15966.0,0.0,0.0,No,,inf
203,Union,2,0,1,3/4/20,15966.0,0.0,0.0,No,,inf
272,Union,3,0,1,3/5/20,15966.0,0.0,0.0,No,,inf
341,Union,4,0,1,3/6/20,15966.0,0.0,0.0,No,,inf
410,Union,5,0,1,3/7/20,15966.0,0.0,0.0,No,,inf
479,Union,6,0,1,3/8/20,15966.0,0.0,0.0,No,,inf
548,Union,7,0,2,3/9/20,15966.0,0.0,0.0,No,,inf
617,Union,8,0,2,3/10/20,15966.0,0.0,0.0,No,,inf
686,Union,9,0,2,3/11/20,15966.0,0.0,0.0,No,,inf
755,Union,10,0,2,3/12/20,15966.0,0.0,0.0,No,,inf
824,Union,11,0,2,3/13/20,15966.0,0.0,0.0,No,,inf
893,Union,12,0,2,3/14/20,15966.0,0.0,0.0,No,,inf
962,Union,13,0,2,3/15/20,15966.0,0.0,0.0,No,,inf
1031,Union,14,0,3,3/16/20,15966.0,0.0,0.0,No,,inf
1100,Union,15,0,3,3/17/20,15966.0,0.0,0.0,No,,inf
1169,Union,16,0,3,3/18/20,15966.0,0.0,0.0,No,,inf
1238,Union,17,0,3,3/19/20,15966.0,0.0,0.0,No,,inf
1307,Union,18,0,3,3/20/20,15966.0,0.0,0.0,No,,inf
1376,Union,19,0,3,3/21/20,15966.0,0.0,0.0,No,,inf
1445,Union,20,0,3,3/22/20,15966.0,0.0,0.0,No,,inf
1514,Union,21,0,4,3/23/20,15966.0,0.0,0.0,No,,inf
1583,Union,22,0,4,3/24/20,15966.0,0.0,0.0,No,,inf
43,Volusia,0,0,1,3/2/20,532926.0,0.0,0.0,No,,inf
112,Volusia,1,0,1,3/3/20,532926.0,0.0,0.0,No,,inf
181,Volusia,2,0,1,3/4/20,532926.0,0.0,0.0,No,,inf
250,Volusia,3,0,1,3/5/20,532926.0,0.0,0.0,No,,inf
319,Volusia,4,0,1,3/6/20,532926.0,0.0,0.0,No,,inf
388,Volusia,5,0,1,3/7/20,532926.0,0.0,0.0,No,,inf
457,Volusia,6,1,1,3/8/20,532926.0,0.18764331257998296,1.0,Yes,inf,1.0
526,Volusia,7,1,2,3/9/20,532926.0,0.18764331257998296,0.0,Yes,0.0,inf
595,Volusia,8,0,2,3/10/20,532926.0,0.0,-1.0,No,-inf,-inf
664,Volusia,9,0,2,3/11/20,532926.0,0.0,0.0,No,,inf
733,Volusia,10,0,2,3/12/20,532926.0,0.0,0.0,No,,inf
802,Volusia,11,1,2,3/13/20,532926.0,0.18764331257998296,1.0,Yes,inf,1.0
871,Volusia,12,3,2,3/14/20,532926.0,0.5629299377399489,2.0,Yes,1.0986122886681096,0.16666666666666666
940,Volusia,13,1,2,3/15/20,532926.0,0.18764331257998296,-2.0,No,-1.0986122886681096,-0.5
1009,Volusia,14,1,3,3/16/20,532926.0,0.18764331257998296,0.0,Yes,0.0,inf
1078,Volusia,15,1,3,3/17/20,532926.0,0.18764331257998296,0.0,Yes,0.0,inf
1147,Volusia,16,0,3,3/18/20,532926.0,0.0,-1.0,No,-inf,-inf
1216,Volusia,17,0,3,3/19/20,532926.0,0.0,0.0,No,,inf
1285,Volusia,18,1,3,3/20/20,532926.0,0.18764331257998296,1.0,Yes,inf,1.0
1354,Volusia,19,2,3,3/21/20,532926.0,0.3752866251599659,1.0,Yes,0.6931471805599452,0.5
1423,Volusia,20,2,3,3/22/20,532926.0,0.3752866251599659,0.0,Yes,0.0,inf
1492,Volusia,21,3,4,3/23/20,532926.0,0.5629299377399489,1.0,Yes,0.4054651081081645,0.3333333333333333
1561,Volusia,22,1,4,3/24/20,532926.0,0.18764331257998296,-2.0,No,-1.0986122886681096,-0.5
66,Wakulla,0,0,1,3/2/20,32350.0,0.0,0.0,No,-inf,-inf
135,Wakulla,1,0,1,3/3/20,32350.0,0.0,0.0,No,,inf
204,Wakulla,2,0,1,3/4/20,32350.0,0.0,0.0,No,,inf
273,Wakulla,3,0,1,3/5/20,32350.0,0.0,0.0,No,,inf
342,Wakulla,4,0,1,3/6/20,32350.0,0.0,0.0,No,,inf
411,Wakulla,5,0,1,3/7/20,32350.0,0.0,0.0,No,,inf
480,Wakulla,6,0,1,3/8/20,32350.0,0.0,0.0,No,,inf
549,Wakulla,7,0,2,3/9/20,32350.0,0.0,0.0,No,,inf
618,Wakulla,8,0,2,3/10/20,32350.0,0.0,0.0,No,,inf
687,Wakulla,9,0,2,3/11/20,32350.0,0.0,0.0,No,,inf
756,Wakulla,10,0,2,3/12/20,32350.0,0.0,0.0,No,,inf
825,Wakulla,11,0,2,3/13/20,32350.0,0.0,0.0,No,,inf
894,Wakulla,12,0,2,3/14/20,32350.0,0.0,0.0,No,,inf
963,Wakulla,13,0,2,3/15/20,32350.0,0.0,0.0,No,,inf
1032,Wakulla,14,0,3,3/16/20,32350.0,0.0,0.0,No,,inf
1101,Wakulla,15,0,3,3/17/20,32350.0,0.0,0.0,No,,inf
1170,Wakulla,16,0,3,3/18/20,32350.0,0.0,0.0,No,,inf
1239,Wakulla,17,0,3,3/19/20,32350.0,0.0,0.0,No,,inf
1308,Wakulla,18,0,3,3/20/20,32350.0,0.0,0.0,No,,inf
1377,Wakulla,19,0,3,3/21/20,32350.0,0.0,0.0,No,,inf
1446,Wakulla,20,0,3,3/22/20,32350.0,0.0,0.0,No,,inf
1515,Wakulla,21,0,4,3/23/20,32350.0,0.0,0.0,No,,inf
1584,Wakulla,22,0,4,3/24/20,32350.0,0.0,0.0,No,,inf
44,Walton,0,0,1,3/2/20,67926.0,0.0,0.0,No,,inf
113,Walton,1,0,1,3/3/20,67926.0,0.0,0.0,No,,inf
182,Walton,2,0,1,3/4/20,67926.0,0.0,0.0,No,,inf
251,Walton,3,0,1,3/5/20,67926.0,0.0,0.0,No,,inf
320,Walton,4,0,1,3/6/20,67926.0,0.0,0.0,No,,inf
389,Walton,5,0,1,3/7/20,67926.0,0.0,0.0,No,,inf
458,Walton,6,0,1,3/8/20,67926.0,0.0,0.0,No,,inf
527,Walton,7,0,2,3/9/20,67926.0,0.0,0.0,No,,inf
596,Walton,8,0,2,3/10/20,67926.0,0.0,0.0,No,,inf
665,Walton,9,0,2,3/11/20,67926.0,0.0,0.0,No,,inf
734,Walton,10,0,2,3/12/20,67926.0,0.0,0.0,No,,inf
803,Walton,11,0,2,3/13/20,67926.0,0.0,0.0,No,,inf
872,Walton,12,0,2,3/14/20,67926.0,0.0,0.0,No,,inf
941,Walton,13,0,2,3/15/20,67926.0,0.0,0.0,No,,inf
1010,Walton,14,0,3,3/16/20,67926.0,0.0,0.0,No,,inf
1079,Walton,15,0,3,3/17/20,67926.0,0.0,0.0,No,,inf
1148,Walton,16,1,3,3/18/20,67926.0,1.4721903247651855,1.0,Yes,inf,1.0
1217,Walton,17,0,3,3/19/20,67926.0,0.0,-1.0,No,-inf,-inf
1286,Walton,18,2,3,3/20/20,67926.0,2.944380649530371,2.0,Yes,inf,0.25
1355,Walton,19,0,3,3/21/20,67926.0,0.0,-2.0,No,-inf,-inf
1424,Walton,20,0,3,3/22/20,67926.0,0.0,0.0,No,,inf
1493,Walton,21,6,4,3/23/20,67926.0,8.833141948591114,6.0,Yes,inf,0.027777777777777776
1562,Walton,22,1,4,3/24/20,67926.0,1.4721903247651855,-5.0,No,-1.791759469228055,-0.2
67,Washington,0,0,1,3/2/20,25243.0,0.0,0.0,No,-inf,-inf
136,Washington,1,0,1,3/3/20,25243.0,0.0,0.0,No,,inf
205,Washington,2,0,1,3/4/20,25243.0,0.0,0.0,No,,inf
274,Washington,3,0,1,3/5/20,25243.0,0.0,0.0,No,,inf
343,Washington,4,0,1,3/6/20,25243.0,0.0,0.0,No,,inf
412,Washington,5,0,1,3/7/20,25243.0,0.0,0.0,No,,inf
481,Washington,6,0,1,3/8/20,25243.0,0.0,0.0,No,,inf
550,Washington,7,0,2,3/9/20,25243.0,0.0,0.0,No,,inf
619,Washington,8,0,2,3/10/20,25243.0,0.0,0.0,No,,inf
688,Washington,9,0,2,3/11/20,25243.0,0.0,0.0,No,,inf
757,Washington,10,0,2,3/12/20,25243.0,0.0,0.0,No,,inf
826,Washington,11,0,2,3/13/20,25243.0,0.0,0.0,No,,inf
895,Washington,12,0,2,3/14/20,25243.0,0.0,0.0,No,,inf
964,Washington,13,0,2,3/15/20,25243.0,0.0,0.0,No,,inf
1033,Washington,14,0,3,3/16/20,25243.0,0.0,0.0,No,,inf
1102,Washington,15,0,3,3/17/20,25243.0,0.0,0.0,No,,inf
1171,Washington,16,0,3,3/18/20,25243.0,0.0,0.0,No,,inf
1240,Washington,17,0,3,3/19/20,25243.0,0.0,0.0,No,,inf
1309,Washington,18,0,3,3/20/20,25243.0,0.0,0.0,No,,inf
1378,Washington,19,0,3,3/21/20,25243.0,0.0,0.0,No,,inf
1447,Washington,20,0,3,3/22/20,25243.0,0.0,0.0,No,,inf
1516,Washington,21,0,4,3/23/20,25243.0,0.0,0.0,No,,inf
1585,Washington,22,0,4,3/24/20,25243.0,0.0,0.0,No,,inf
