,County,Day,Cases,Population,Rate,TotalCount,TotalRate
2613,Florida,0,2,2095775,0.09543009149360021,2,0.09543009149360021
2614,Florida,1,2,2095775,0.09543009149360021,4,0.19086018298720042
2615,Florida,2,4,2095775,0.19086018298720042,8,0.38172036597440084
2616,Florida,3,1,2095775,0.047715045746800105,9,0.4294354117212009
2617,Florida,4,0,2095775,0.0,9,0.4294354117212009
2618,Florida,5,4,2095775,0.19086018298720042,13,0.6202955947084013
2619,Florida,6,1,2095775,0.047715045746800105,14,0.6680106404552014
2620,Florida,7,5,2095775,0.23857522873400053,19,0.9065858691892019
2621,Florida,8,3,2095775,0.14314513724040034,22,1.0497310064296022
2622,Florida,9,6,2095775,0.2862902744808007,28,1.3360212809104028
2623,Florida,10,7,2095775,0.33400532022760077,35,1.6700266011380036
2624,Florida,11,24,2095775,1.1451610979232028,59,2.815187699061206
2625,Florida,12,45,2095775,2.147177058606005,104,4.962364757667212
2626,Florida,13,33,2095775,1.5745965096444037,137,6.536961267311615
2627,Florida,14,32,2095775,1.5268814638976034,169,8.063842731209219
2628,Florida,15,70,2095775,3.340053202276007,239,11.403895933485225
2629,Florida,16,107,2095775,5.105509894907612,346,16.509405828392836
2630,Florida,17,87,2095775,4.151208979971609,433,20.660614808364446
2631,Florida,18,150,2095775,7.157256862020016,583,27.817871670384463
2632,Florida,19,217,2095775,10.354164927055624,800,38.17203659744008
2633,Florida,20,306,2095775,14.600803998520833,1106,52.772840595960915
2634,Florida,21,193,2095775,9.20900382913242,1299,61.981844425093335
2635,Florida,22,300,2095775,14.314513724040031,1599,76.29635814913337
2636,Florida,23,518,2095775,24.716393696842456,2117,101.01275184597583
2637,Florida,24,562,2095775,26.815855709701662,2679,127.8286075556775
2638,Florida,25,693,2095775,33.06652670253248,3372,160.89513425820996
2639,Florida,26,726,2095775,34.64112321217688,4098,195.53625747038683
2640,Florida,27,920,2095775,43.897842087056105,5018,239.43409955744295
2641,Florida,28,900,2095775,42.9435411721201,5918,282.37764072956304
2642,Florida,29,951,2095775,45.3770085052069,6869,327.75464923476994
2643,Florida,30,1079,2095775,51.484534360797326,7948,379.2391835955673
2644,Florida,31,1316,2095775,62.793000202788946,9264,442.03218379835624
2645,Florida,32,1336,2095775,63.74730111772495,10600,505.7794849160812
2646,Florida,33,1208,2095775,57.639775262134535,11808,563.4192601782157
2647,Florida,34,792,2095775,37.79031623146569,12600,601.2095764096814
2648,Florida,35,1229,2095775,58.64179122281733,13829,659.8513676324988
2649,Florida,36,1069,2095775,51.00738390332931,14898,710.8587515358281
2650,Florida,37,1111,2095775,53.01141582469492,16009,763.870167360523
2651,Florida,38,817,2095775,38.983192375135694,16826,802.8533597356587
