,County,Week,Cases,Rate,Change,Double
168,Saint Johns,1,0,0,0,No
169,Saint Johns,2,0,0,0,No
170,Saint Johns,3,0,0,0,No
171,Saint Lucie,1,0,0,0,No
172,Saint Lucie,2,0,0,0,No
173,Saint Lucie,3,0,0,0,No
175,Santa Rosa,2,0,0,-1,No
174,Santa Rosa,1,1,0.56963179,0,No
176,Santa Rosa,3,3,1.70889537,3,Yes
177,Sarasota,1,0,0,0,No
178,Sarasota,2,4,0.961778906,4,Yes
179,Sarasota,3,13,3.125781445,9,Yes
180,Seminole,1,0,0,0,No
181,Seminole,2,4,0.862762522,4,Yes
182,Seminole,3,15,3.235359459,11,Yes
183,St. Johns,1,0,0,0,No
184,St. Johns,2,3,0,3,Yes
185,St. Johns,3,13,0,10,Yes
186,St. Lucie,1,0,0,0,No
187,St. Lucie,2,0,0,0,No
188,St. Lucie,3,3,0,3,Yes
189,Sumter,1,0,0,0,No
190,Sumter,2,0,0,0,No
191,Sumter,3,5,3.975226389,5,Yes
192,Suwannee,1,0,0,0,No
193,Suwannee,2,0,0,0,No
194,Suwannee,3,0,0,0,No
195,Taylor,1,0,0,0,No
196,Taylor,2,0,0,0,No
197,Taylor,3,0,0,0,No
198,Union,1,0,0,0,No
199,Union,2,0,0,0,No
200,Union,3,0,0,0,No
201,Unknown,1,0,0,0,No
202,Unknown,2,0,0,0,No
203,Unknown,3,1,0,1,Yes
204,Volusia,1,2,0.375286625,0,No
205,Volusia,2,6,1.125859875,4,Yes
206,Volusia,3,6,1.125859875,0,Yes
207,Wakulla,1,0,0,0,No
208,Wakulla,2,0,0,0,No
209,Wakulla,3,0,0,0,No
210,Walton,1,0,0,0,No
211,Walton,2,0,0,0,No
212,Walton,3,4,5.888761299,4,Yes
213,Washington,1,0,0,0,No
214,Washington,2,0,0,0,No
215,Washington,3,0,0,0,No
