,County,Day,Cases,Population,Rate,Log,TotalCount,TotalRate,TotalLog,Double
2010,Florida,0,2,2095775,0.09543009149360021,0.6931471805599453,2,0.09543009149360021,0.6931471805599453,
2011,Florida,1,2,2095775,0.09543009149360021,0.6931471805599453,4,0.19086018298720042,1.3862943611198906,inf
2012,Florida,2,4,2095775,0.19086018298720042,1.3862943611198906,8,0.38172036597440084,2.772588722239781,0.6931471805599453
2013,Florida,3,1,2095775,0.047715045746800105,0.0,9,0.4294354117212009,2.772588722239781,-0.9241962407465937
2014,Florida,4,0,2095775,0.0,0.0,9,0.4294354117212009,2.772588722239781,-0.6931471805599453
2015,Florida,5,4,2095775,0.19086018298720042,1.3862943611198906,13,0.6202955947084013,4.1588830833596715,0.0
2016,Florida,6,1,2095775,0.047715045746800105,0.0,14,0.6680106404552014,4.1588830833596715,-0.9241962407465937
2017,Florida,7,5,2095775,0.23857522873400053,1.6094379124341003,19,0.9065858691892019,5.768320995793772,0.17328679513998632
2018,Florida,8,3,2095775,0.14314513724040034,1.0986122886681098,22,1.0497310064296022,6.866933284461882,-1.732867951399863
2019,Florida,9,6,2095775,0.2862902744808007,1.791759469228055,28,1.3360212809104028,8.658692753689937,0.6931471805599453
2020,Florida,10,7,2095775,0.33400532022760077,1.9459101490553132,35,1.6700266011380036,10.60460290274525,4.15888308335967
2021,Florida,11,24,2095775,1.1451610979232028,3.1780538303479458,59,2.815187699061206,13.782656733093196,0.2854135449364481
2022,Florida,12,45,2095775,2.147177058606005,3.8066624897703196,104,4.962364757667212,17.589319222863516,0.7921682063542231
2023,Florida,13,33,2095775,1.5745965096444037,3.4965075614664802,137,6.536961267311615,21.085826784329996,-2.5993019270997944
2024,Florida,14,32,2095775,1.5268814638976034,3.4657359027997265,169,8.063842731209219,24.55156268712972,-22.873856958478214
2025,Florida,15,70,2095775,3.340053202276007,4.248495242049359,239,11.403895933485225,28.80005792917908,0.5837028888925855
2026,Florida,16,107,2095775,5.105509894907612,4.672828834461906,346,16.509405828392836,33.472886763640986,1.311359530789086
2027,Florida,17,88,2095775,4.1989240257184095,4.477336814478207,434,20.708329854111245,37.95022357811919,-3.9035130694691653
2028,Florida,18,150,2095775,7.157256862020016,5.0106352940962555,584,27.86558671613126,42.96085887221545,0.9838218046657288
2029,Florida,19,217,2095775,10.354164927055624,5.37989735354046,801,38.21975164318688,48.340756225755904,1.5518220460297278
2030,Florida,20,306,2095775,14.600803998520833,5.723585101952381,1107,52.82055564170771,54.064341327708284,1.6900330132753727
2031,Florida,21,194,2095775,9.25671887487922,5.267858159063328,1301,62.07727451658693,59.332199486771614,-1.8937771183155647
2032,Florida,22,302,2095775,14.409943815533634,5.71042701737487,1603,76.48721833212056,65.04262650414648,1.2450977132280499
2033,Florida,23,518,2095775,24.716393696842456,6.249975242259483,2121,101.20361202896302,71.29260174640596,0.9691224468939974
2034,Florida,24,563,2095775,26.86357075544846,6.333279628139691,2684,128.06718278441147,77.62588137454566,7.978894211778932
2035,Florida,25,694,2095775,33.11424174827928,6.542471960506805,3378,161.18142453269076,84.16835333505246,2.9789455164522836
2036,Florida,26,744,2095775,35.49999403561928,6.612041034833092,4122,196.68141856831005,90.78039436988556,9.62088286617205
2037,Florida,27,923,2095775,44.0409872242965,6.827629234502852,5045,240.72240579260654,97.6080236043884,2.8810139795340755
2038,Florida,28,905,2095775,43.1821164008541,6.807934943699926,5950,283.90452219346065,104.41595854808833,-35.54304709204605
2039,Florida,29,959,2095775,45.758728871181304,6.8658910748834385,6909,329.66325106464194,111.28184962297176,11.616633303828724
