,County,Day,Cases,Population,Rate,Log,TotalCount,TotalRate,TotalLog,Double
0,Alachua,0,0,263753,0.0,0.0,0,0.0,0.0,
1,Alachua,1,0,263753,0.0,0.0,0,0.0,0.0,
2,Alachua,2,0,263753,0.0,0.0,0,0.0,0.0,
3,Alachua,3,0,263753,0.0,0.0,0,0.0,0.0,
4,Alachua,4,0,263753,0.0,0.0,0,0.0,0.0,
5,Alachua,5,0,263753,0.0,0.0,0,0.0,0.0,
6,Alachua,6,0,263753,0.0,0.0,0,0.0,0.0,
7,Alachua,7,0,263753,0.0,0.0,0,0.0,0.0,
8,Alachua,8,1,263753,0.3791426069087366,0.0,1,0.3791426069087366,0.0,0.0
9,Alachua,9,0,263753,0.0,0.0,1,0.3791426069087366,0.0,-0.6931471805599453
10,Alachua,10,0,263753,0.0,0.0,1,0.3791426069087366,0.0,
11,Alachua,11,1,263753,0.3791426069087366,0.0,2,0.7582852138174732,0.0,0.0
12,Alachua,12,1,263753,0.3791426069087366,0.0,3,1.1374278207262098,0.0,inf
13,Alachua,13,0,263753,0.0,0.0,3,1.1374278207262098,0.0,-0.6931471805599453
14,Alachua,14,1,263753,0.3791426069087366,0.0,4,1.5165704276349463,0.0,0.0
15,Alachua,15,2,263753,0.7582852138174732,0.6931471805599453,6,2.2748556414524197,0.6931471805599453,0.6931471805599453
16,Alachua,16,3,263753,1.1374278207262098,1.0986122886681098,9,3.4122834621786295,1.791759469228055,1.3862943611198906
17,Alachua,17,2,263753,0.7582852138174732,0.6931471805599453,11,4.170568675996103,2.4849066497880004,-2.0794415416798357
18,Alachua,18,5,263753,1.8957130345436828,1.6094379124341003,16,6.066281710539785,4.0943445622221,0.46209812037329684
19,Alachua,19,13,263753,4.928853889813576,2.5649493574615367,29,10.995135600353361,6.659293919683638,0.43321698784996576
20,Alachua,20,5,263753,1.8957130345436828,1.6094379124341003,34,12.890848634897043,8.268731832117737,-1.126364168409911
21,Alachua,21,2,263753,0.7582852138174732,0.6931471805599453,36,13.649133848714516,8.961879012677683,-1.1552453009332422
22,Alachua,22,9,263753,3.412283462178629,2.1972245773362196,45,17.061417310893145,11.159103590013903,0.19804205158855578
23,Alachua,23,1,263753,0.3791426069087366,0.0,46,17.44055991780188,11.159103590013903,-0.7797905781299385
24,Alachua,24,10,263753,3.7914260690873656,2.302585092994046,56,21.231985986889246,13.46168868300795,0.07701635339554948
25,Alachua,25,9,263753,3.412283462178629,2.1972245773362196,65,24.644269449067874,15.65891326034417,-6.931471805599454
26,Alachua,26,3,263753,1.1374278207262098,1.0986122886681098,68,25.781697269794083,16.75752554901228,-1.0397207708399179
27,Alachua,27,5,263753,1.8957130345436828,1.6094379124341003,73,27.677410304337766,18.366963461446378,1.0397207708399179
28,Alachua,28,11,263753,4.170568675996102,2.3978952727983707,84,31.847978980333867,20.764858734244747,0.577622650466621
29,Alachua,29,6,263753,2.2748556414524197,1.791759469228055,90,34.12283462178629,22.5566182034728,-1.5249237972318794
