,County,Day,Cases,Week,Date,Population,Rate,Change,Double,Increase,Total
0,Alachua,0,0.0,1,3/2/20,263753.0,0.0,0.0,No,,0.0
72,Alachua,1,0.0,1,3/3/20,263753.0,0.0,0.0,No,,0.0
144,Alachua,2,0.0,1,3/4/20,263753.0,0.0,0.0,No,,0.0
216,Alachua,3,0.0,1,3/5/20,263753.0,0.0,0.0,No,,0.0
288,Alachua,4,0.0,1,3/6/20,263753.0,0.0,0.0,No,,0.0
360,Alachua,5,0.0,1,3/7/20,263753.0,0.0,0.0,No,,0.0
432,Alachua,6,0.0,1,3/8/20,263753.0,0.0,0.0,No,,0.0
504,Alachua,7,1.0,2,3/9/20,263753.0,0.3791426069087366,1.0,Yes,100.0,0.3791426069087366
576,Alachua,8,0.0,2,3/10/20,263753.0,0.0,-1.0,No,-0.0,0.3791426069087366
648,Alachua,9,0.0,2,3/11/20,263753.0,0.0,0.0,No,,0.0
720,Alachua,10,1.0,2,3/12/20,263753.0,0.3791426069087366,1.0,Yes,100.0,0.3791426069087366
792,Alachua,11,1.0,2,3/13/20,263753.0,0.3791426069087366,0.0,Yes,inf,0.7582852138174732
864,Alachua,12,0.0,2,3/14/20,263753.0,0.0,-1.0,No,-0.0,0.3791426069087366
936,Alachua,13,1.0,2,3/15/20,263753.0,0.3791426069087366,1.0,Yes,100.0,0.3791426069087366
1008,Alachua,14,2.0,3,3/16/20,263753.0,0.7582852138174732,1.0,Yes,200.0,1.1374278207262098
1080,Alachua,15,3.0,3,3/17/20,263753.0,1.1374278207262098,1.0,Yes,300.0,1.895713034543683
1152,Alachua,16,2.0,3,3/18/20,263753.0,0.7582852138174732,-1.0,No,-200.0,1.895713034543683
1224,Alachua,17,5.0,3,3/19/20,263753.0,1.8957130345436828,3.0,Yes,166.66666666666669,2.653998248361156
1296,Alachua,18,13.0,3,3/20/20,263753.0,4.928853889813576,8.0,Yes,162.5,6.824566924357258
1368,Alachua,19,6.0,3,3/21/20,263753.0,2.2748556414524197,-7.0,No,-85.71428571428571,7.203709531265996
